Line,Occurrences
cannot find symbol,1950
constructor in class cannot be applied to given types;,129
cannot access,419
package does not exist,344
unreported exception must be caught or declared to be thrown,2
reference to is ambiguous,12
incompatible types: cannot be converted to,13
method does not override or implement a method from a supertype,39
no suitable method found for,4
static import only from classes and interfaces,16
Implicit super constructor is undefined. Must explicitly invoke another constructor,1
Exception is not compatible with throws clause in,3
The constructor is undefined,2
exception is never thrown in body of corresponding try statement,1
has private access in,2
is not abstract and does not override abstract method file,4
Couldn't retrieve annotation,1
method cannot be applied to given types,9
incompatible types: is not a functional interface,1
no suitable constructor found for,5
incompatible types: bad return type in lambda expression,1
